SampleName,Compound,Avg_Diff,CF_Avg_Diff,Combination,CF_Combination,Heavy_Halogen_Presence
NIST SRM-1957 1.d.DeMP,12,0.11895191851983657,0.015086239778748595,Cl1_Br0,C9_F19,No
NIST SRM-1957 1.d.DeMP,41,0.09667867780712935,0.03102046600303633,Cl1_Br0,C6_F15,No
NIST SRM-1957 1.d.DeMP,43,0.12281740486681604,0.01813291021530386,Cl1_Br0,C10_F19,No
NIST SRM-1957 1.d.DeMP,104,0.02611698683358515,0.0009223338982454372,Cl0_Br1,C5_F13,No
NIST SRM-1957 10.d.DeMP,12,0.1182209515351158,0.019475060718266646,Cl1_Br0,C9_F19,No
NIST SRM-1957 10.d.DeMP,40,0.03340671436433682,0.0009595294861401149,Cl0_Br1,C6_F14,No
NIST SRM-1957 10.d.DeMP,42,0.12216478223916345,0.01553123001421899,Cl1_Br0,C9_F19,No
NIST SRM-1957 10.d.DeMP,76,0.03350546694572635,0.2603157674153689,Cl0_Br1,C7_F7,Cl0_Br1
NIST SRM-1957 10.d.DeMP,104,0.028160750953358755,0.001121430221528167,Cl0_Br1,C5_F13,No
NIST SRM-1957 2.d.DeMP,12,0.12056026481983477,0.017135747433547684,Cl1_Br0,C9_F18,No
NIST SRM-1957 2.d.DeMP,41,0.10321172690215848,0.027858699715246855,Cl1_Br0,C7_F14,No
NIST SRM-1957 2.d.DeMP,43,0.12427471515647166,0.016675599925648234,Cl1_Br0,C10_F19,No
NIST SRM-1957 2.d.DeMP,77,0.033119940131351694,0.2044104305300864,Cl0_Br1,C8_F7,Cl0_Br1
NIST SRM-1957 2.d.DeMP,104,0.03406569019085664,0.003789358833706187,Cl0_Br1,C7_F13,No
NIST SRM-1957 3.d.DeMP,41,0.10253874591148278,0.028531680705922553,Cl1_Br0,C7_F14,No
NIST SRM-1957 3.d.DeMP,43,0.11864269836566711,0.019053313887715324,Cl1_Br0,C9_F18,No
NIST SRM-1957 3.d.DeMP,77,0.030652649518992516,0.2686987299584567,Cl0_Br1,C7_F7,Cl0_Br1
NIST SRM-1957 3.d.DeMP,105,0.03076923076923077,0.0016779541089659358,Cl0_Br1,C6_F14,No
NIST SRM-1957 6.d.DeMP,12,0.12385572153553653,0.013777563495250394,Cl1_Br0,C10_F19,No
NIST SRM-1957 6.d.DeMP,40,0.10201147324988408,0.02905895336752125,Cl1_Br0,C7_F16,No
NIST SRM-1957 6.d.DeMP,42,0.11949345505960939,0.01820255719377306,Cl1_Br0,C9_F19,No
NIST SRM-1957 6.d.DeMP,74,0.03235560576879021,0.19386342269267454,Cl3_Br0,C7_F7,Cl3_Br0
NIST SRM-1957 6.d.DeMP,100,0.03244573730140971,1.4475767869948086e-06,Cl0_Br1,C6_F13,No
NIST SRM-1957 6.d.DeMP,376,0.045098039215686274,0.0035727381016087897,Cl0_Br1,C9_F15,No
NIST SRM-1957 7.d.DeMP,12,0.12255711004394408,0.018393205038175826,Cl1_Br0,C10_F19,No
NIST SRM-1957 7.d.DeMP,40,0.10247891764942513,0.031923798449052465,Cl1_Br0,C8_F15,No
NIST SRM-1957 7.d.DeMP,41,0.12170353087421189,0.019246784207908017,Cl1_Br0,C10_F18,No
NIST SRM-1957 7.d.DeMP,97,0.03243933588761175,7.848990584959081e-06,Cl0_Br1,C6_F13,No
NIST SRM-1957 7.d.DeMP,361,0.04599271402550091,0.008085927438160272,Cl0_Br1,C10_F16,No
NIST SRM-1957 8.d.DeMP,12,0.12263108051945755,0.018319234562662337,Cl1_Br0,C10_F19,No
NIST SRM-1957 8.d.DeMP,40,0.1042160035554492,0.02685442306195613,Cl1_Br0,C7_F14,No
NIST SRM-1957 8.d.DeMP,42,0.1177622050001133,0.01993380725326916,Cl1_Br0,C9_F20,No
NIST SRM-1957 8.d.DeMP,75,0.028098134711391175,0.22675443921409702,Cl0_Br1,C7_F7,Cl0_Br1
NIST SRM-1957 8.d.DeMP,101,0.028804347826086957,0.00364283705210975,Cl0_Br1,C6_F14,No
NIST SRM-1957 9.d.DeMP,12,0.11839552625027372,0.016007189848203884,Cl1_Br0,C8_F19,No
NIST SRM-1957 9.d.DeMP,39,0.09976986684737314,0.02792927696279253,Cl1_Br0,C6_F15,No
NIST SRM-1957 9.d.DeMP,40,0.12207519451633626,0.015620817737046171,Cl1_Br0,C9_F20,No
NIST SRM-1957 9.d.DeMP,74,0.02697635732387975,0.267700618500262,Cl0_Br1,C7_F7,Cl0_Br1
NIST SRM-1957 9.d.DeMP,101,0.028503126149319602,0.003944058728877105,Cl0_Br1,C6_F13,No
