GroupID,m/z,RT,DT,ID,CCS,Classification Type,Match Source,Match,Neutral Loss,Outlier,148 B2 16632.d.DeMP,149 B2 16631.d.DeMP,220 B3 16562.d.DeMP,221 B3 16563.d.DeMP,291 B4 16634.d.DeMP,295 B4 16707.d.DeMP
7,279.0125,0.673,19.7,7832.0,149.35,tentative,External Targets,"2,2,3,3,4,4,4-Heptafluoro-N-(1H-1,2,4-triazol-5-yl)butanamide",M,False,0.0,0.0,0.0,761.999,777.999,0.0
7,235.0237,0.693,19.659,9137.0,150.31,unmatched,,No Match,M-CO2,False,0.0,0.0,0.0,675.999,791.999,0.0
7,191.03215,0.7865,17.692,2937.0,136.055,unmatched,,No Match,M-CO2,True,0.0,0.0,9395.999,775.999,0.0,0.0
7,235.02336666666667,0.6973333333333334,18.635,7082.0,142.41333333333333,unmatched,,No Match,M-CO2,True,0.0,0.0,0.0,789.999,1134.999,0.0
8,278.9136,0.7475,17.287,295.0,130.91500000000002,unmatched,,No Match,M,False,31665.999,43233.999,126502.999,87849.999,11278.999,14933.999
8,234.9231,0.647,17.246,3840.0,131.79,unmatched,,No Match,M-CO2,False,641.999,1138.999,2747.999,1907.999,0.0,0.0
8,234.9238,0.649,16.437,4694.0,125.58,unmatched,,No Match,M-CO2,True,765.999,687.999,1867.999,1562.999,0.0,0.0
14,260.9027,0.652,17.203,4635.0,130.76,unmatched,,No Match,M,False,666.999,665.999,2017.999,1414.999,0.0,0.0
14,180.9428,0.8,17.116,8307.0,137.95499999999998,unmatched,,No Match,M-SO3,False,1009.999,0.0,0.0,572.999,0.0,676.999
14,224.9335,1.131,17.184,8758.0,131.62,unmatched,,No Match,M-CO2,False,0.0,0.0,0.0,0.0,1296.999,639.999
14,180.94395,0.9195,16.212,7973.0,126.45,unmatched,,No Match,M-SO3,True,0.0,0.0,613.999,1071.999,0.0,550.999
17,201.023475,0.7565,18.187,3650.0,144.925,unmatched,,No Match,M-CO2,False,1660.8652824157773,3784.147824938903,0.0,2233.08620142955,872.1478249389031,1943.1468249389031
17,245.0089,0.976,17.983,2354.0,137.14,unmatched,,No Match,M-CO2,False,0.0,0.0,0.0,6283.999,0.0,9082.999
17,245.0101,0.518,19.352,2404.0,147.63,unmatched,,No Match,M,True,2649.999,627.999,9401.999,0.0,1915.999,0.0
17,165.0529,1.242,17.436,4433.0,136.22,unmatched,,No Match,M-SO3,True,0.0,0.0,685.7778888888888,0.0,665.7778888888888,2065.7778888888893
17,201.0203,0.548,18.51,2959.0,142.76,tentative,External Targets,"5-(1,1,2,2,2-pentafluoroethyl)-1H-1,2,4-triazol-3-amine",M-CO2,True,2363.999,3395.999,0.0,0.0,0.0,4838.999
21,206.9405,0.705,16.904,4422.0,130.1,unmatched,,No Match,M,False,0.0,0.0,0.0,0.0,4962.999,633.999
21,162.951,0.608,16.814,7173.0,131.46,unmatched,,No Match,M-CO2,False,887.999,0.0,0.0,0.0,846.999,632.999
21,162.9506,0.606,15.765,6057.0,123.23,unmatched,,No Match,M-CO2,True,1383.999,682.999,0.0,0.0,0.0,1382.999
