GroupID,m/z,RT,ID,CCS,Classification Type,Match Source,Match,Repeating Unit
1,68.9952,0.36,100040.0,96.52,External Library,Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,TFA(1) (M-H-CO2),CF2
1,118.992,10.47,100035.0,119.28,External Library,Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,PFPrA(1) (M-H-CO2),CF2
1,118.992,0.82,100037.0,104.5986,External Library,Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,PFPrA(2) (M-H-CO2),CF2
1,168.9894,2.26,100034.0,110.76,External Library,Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,PFBA (M-H-CO2),CF2
1,218.9862,4.52,100033.0,117.43,External Library,Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,PFPeA (M-H-CO2),CF2
1,268.983,6.66,100032.0,125.1,External Library,Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,PFHxA (M-H-CO2),CF2
1,318.9784,1.428,2628.0,132.52,likely,PFAS Standards,PFHpA (M-H-CO2),CF2
1,318.9798,8.21,100031.0,132.38,External Library,Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,PFHpA (M-H-CO2),CF2
1,368.9756,1.7315,286.0,139.345,likely,PFAS Standards,PFOA (M-H-CO2),CF2
1,368.9766,9.37,100030.0,139.5,External Library,Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,PFOA (M-H-CO2),CF2
1,418.9722,2.2245,1465.0,147.13,likely,PFAS Standards,PFNA (M-H-CO2),CF2
1,418.97225,3.4445,3573.0,147.12,likely,PFAS Standards,PFNA (M-H-CO2),CF2
1,418.9734,10.3,100029.0,147.02,External Library,Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,PFNA (M-H-CO2),CF2
1,468.9689,2.19,1234.0,155.71,likely,PFAS Standards,PFDA (M-H-CO2),CF2
1,468.9702,11.1,100027.0,155.28,External Library,Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,PFDA (M-H-CO2),CF2
1,518.9667,2.39,2227.0,164.01,likely,PFAS Standards,PFUdA (M-H-CO2),CF2
1,518.967,11.77,100025.0,163.36,External Library,Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,PFUdA (M-H-CO2),CF2
1,568.9638,12.36,100023.0,171.5,External Library,Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,PFDoA (M-H-CO2),CF2
1,618.9606,12.86,100021.0,179.65,External Library,Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,PFTrDA (M-H-CO2),CF2
1,668.9574,13.3,100019.0,187.62,External Library,Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,PFTeDA (M-H-CO2),CF2
1,768.951,14.02,100017.0,203.67,External Library,Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,PFHxDA (M-H-CO2),CF2
1,868.9441,14.29,100015.0,222.2,External Library,Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,PFODA (M-H-CO2),CF2
39,148.9526,0.38,100010.0,109.59,External Library,Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,TFMS(1) (M-H),CF2
39,198.9494,1.3,100009.0,117.4,External Library,Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,PFEtS (M-H),CF2
39,248.9462,3.2,100008.0,125.1,External Library,Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,PFPrS (M-H),CF2
39,298.9415,0.95,5935.0,133.81,likely,PFAS Standards,PFBS (M-H),CF2
39,298.943,5.2,100007.0,133.62,External Library,Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,PFBS (M-H),CF2
39,348.9374,1.474,3773.0,142.24,likely,PFAS Standards,PFPeS (M-H),CF2
39,348.9398,7.03,100006.0,142.2,External Library,Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,PFPeS (M-H),CF2
39,398.9354333333333,1.8356666666666663,14522.0,150.33333333333334,likely,PFAS Standards,PFHxS (M-H),CF2
39,398.9366,8.38,100005.0,150.51,External Library,Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,PFHxS (M-H),CF2
39,448.9324,2.044,1000.0,159.84,likely,PFAS Standards,PFHpS (M-H),CF2
39,448.9334,9.2,100004.0,159.24,External Library,Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,PFHpS (M-H),CF2
39,498.9302,10.12,100003.0,168.27,External Library,Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,PFOS (M-H),CF2
39,498.9309,2.262,173.0,167.655,likely,PFAS Standards,PFOS (M-H),CF2
39,548.927,11.1,100002.0,177.24,External Library,Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,PFNS (M-H),CF2
39,598.9238,11.76,100001.0,186.21,External Library,Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,PFDS (M-H),CF2
39,598.92445,2.6245000000000003,7386.0,185.09,likely,PFAS Standards,PFDS (M-H),CF2
39,698.9174,12.83,100000.0,203.67,External Library,Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,PFDoS (M-H),CF2
84,184.9843,2.56,100076.0,173.9,External Library,Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,PMPA* (M-H-CO2),CF2
84,234.9811,5.01,100071.0,190.2,External Library,Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,PEPA* (M-H-CO2),CF2
84,234.9811,5.01,100070.0,120.92,External Library,Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,PEPA (M-H-CO2),CF2
84,284.9779,7.14,100069.0,127.46,External Library,Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,HFPO-DA (M-H-CO2),CF2
