,Name,Classification Type,CCS,RT,m/z,ID,GroupID,Repeating Unit
5,No Match,unmatched,149.92000000000002,7.1512,239.06862,9022.0,2,CF2
6,No Match,unmatched,134.865,1.3535,139.0761,22001.0,2,CF2
9,No Match,unmatched,134.97,0.588,189.0714,30134.0,2,CF2
10,No Match,unmatched,126.805,1.687,143.07015,86561.0,3,CF2
11,No Match,unmatched,141.99,6.481,193.0671,72563.0,3,CF2
12,No Match,unmatched,149.55,9.796,243.0643,78688.0,3,CF2
20,No Match,unmatched,39.44,12.946,618.9576,96031.0,6,CF2
21,No Match,unmatched,151.04,10.421,218.9864,1844.0,6,CF2
22,No Match,unmatched,217.185,13.705,718.9538,86505.0,6,CF2
23,No Match,unmatched,196.4,13.757,718.9543,771.0,6,CF2
24,No Match,unmatched,201.3,13.65,718.9555,8158.0,6,CF2
25,No Match,unmatched,211.75,14.412,818.9485,53564.0,6,CF2
26,No Match,unmatched,136.95,8.329,168.9901,52055.0,6,CF2
27,PFBA (M-H-CO2),likely,110.36,2.365,168.9902,45534.0,6,CF2
28,PFHxDA (M-H-CO2),likely,204.35,14.103,768.9513,14521.0,6,CF2
29,No Match,unmatched,166.19,11.877,318.9805,3596.0,6,CF2
30,No Match,unmatched,150.46666666666667,10.694666666666665,318.9806,15175.0,6,CF2
31,PFHpA (M-H-CO2),likely,132.71,11.212,318.9808,35035.0,6,CF2
32,No Match,unmatched,158.46,11.208,268.9828,4716.0,6,CF2
33,No Match,unmatched,149.56,10.421,268.9835,5377.0,6,CF2
34,PFHxA (M-H-CO2),likely,125.3,10.8135,268.9836,49015.0,6,CF2
35,PFHxA (M-H-CO2),likely,125.21,11.876,268.9839,29683.0,6,CF2
37,No Match,unmatched,139.55,11.873,368.9726,80191.0,6,CF2
38,PFOA (M-H-CO2),likely,140.29,12.939,368.9739,68840.0,6,CF2
39,PFDS,External Standard,139.5,9.0,368.9765,0.0,6,CF2
40,PFOA (M-H-CO2),likely,139.77,9.484,368.977,835.0,6,CF2
41,PFOA (M-H-CO2),likely,139.71,11.875,368.9773,16089.0,6,CF2
42,PFOA (M-H-CO2),likely,140.08,12.951,368.9787,86066.0,6,CF2
43,PFTrDA (M-H-CO2),likely,181.36333333333332,12.973333333333334,618.9618666666667,2576.0,6,CF2
44,PFTeDA (M-H-CO2),likely,188.53,13.376,668.9581,906.0,6,CF2
46,No Match,unmatched,177.08200000000002,10.3814,418.97316,66283.0,6,CF2
47,PFDS,External Standard,146.6,10.0,418.9733,0.0,6,CF2
48,No Match,unmatched,161.638,12.359800000000002,418.97422000000006,94084.0,6,CF2
49,PFNA (M-H-CO2),likely,147.51666666666665,12.080333333333334,418.9743666666666,12796.0,6,CF2
50,No Match,unmatched,173.655,11.101,468.9712,880.0,6,CF2
51,No Match,unmatched,187.89,10.43,418.9758,65975.0,6,CF2
52,No Match,unmatched,183.53,10.413,418.9759,82910.0,6,CF2
54,PFDA (M-H-CO2),likely,156.02,11.219333333333331,468.9705333333333,1942.0,6,CF2
56,No Match,unmatched,183.27,11.858,518.9621,538.0,6,CF2
57,No Match,unmatched,73.11,11.931,518.9625,89450.0,6,CF2
58,No Match,unmatched,170.57,11.9,518.9637,87859.0,6,CF2
59,No Match,unmatched,69.57,11.82,518.9652,93728.0,6,CF2
60,No Match,unmatched,44.53,11.8765,518.9653,94166.0,6,CF2
61,No Match,unmatched,82.35,11.861,518.9656,89541.0,6,CF2
62,No Match,unmatched,176.75333333333333,11.751666666666669,518.9676,343.0,6,CF2
63,No Match,unmatched,196.848,11.8714,518.96762,86719.0,6,CF2
64,No Match,unmatched,206.15,11.8875,518.9682,41035.0,6,CF2
65,PFUdA (M-H-CO2),likely,164.1075,12.121,518.968525,14002.0,6,CF2
66,No Match,unmatched,41.37,11.894,518.9688,86513.0,6,CF2
67,No Match,unmatched,91.19,11.895,518.9689,74135.0,6,CF2
68,No Match,unmatched,192.915,11.8835,518.9714,94938.0,6,CF2
69,No Match,unmatched,114.245,11.8755,518.9729,85184.0,6,CF2
70,PFDoS,External Standard,139.5,9.0,368.9766,0.0,6,CF2
71,PFDoA (M-H-CO2),likely,174.23,12.293,568.9642,1237.0,6,CF2
72,No Match,unmatched,185.05333333333337,12.397333333333334,568.9643666666666,1136.0,6,CF2
73,No Match,unmatched,209.97,11.386,568.9678,88622.0,6,CF2
86,No Match,unmatched,148.70499999999998,2.0795000000000003,249.04325,88281.0,10,CF2
87,No Match,unmatched,142.69,0.525,199.0471,48903.0,10,CF2
88,No Match,unmatched,164.9,14.981,299.0395,30130.0,10,CF2
109,No Match,unmatched,183.21,13.495,630.9607,11656.0,16,CF2
110,No Match,unmatched,186.59,12.35,630.9611,4473.0,16,CF2
111,No Match,unmatched,187.80692307692303,14.173923076923076,630.9615769230769,75566.0,16,CF2
112,No Match,unmatched,215.56,12.495,630.9618,77857.0,16,CF2
113,No Match,unmatched,182.16000000000005,11.967,630.9703,88139.0,16,CF2
114,"1h,1h-perfluoro-3,6-dioxadecan-1-ol",tentative,154.76,9.7935,430.9738,3014.0,16,CF2
115,"1h,1h-perfluoro-3,6-dioxadecan-1-ol",tentative,159.58,9.718,430.9742,4354.0,16,CF2
116,"1h,1h-perfluoro-3,6-dioxadecan-1-ol",tentative,159.405,11.8795,430.9743,8167.0,16,CF2
117,"1h,1h-perfluoro-3,6-dioxadecan-1-ol",tentative,146.814,9.9362,430.97462,947.0,16,CF2
118,"1h,1h-perfluoro-3,6-dioxadecan-1-ol",tentative,146.305,11.8765,430.97495,3622.0,16,CF2
119,"1h,1h-perfluoro-3,6-dioxadecan-1-ol",tentative,145.745,6.207000000000001,430.975,14864.0,16,CF2
120,No Match,unmatched,185.8,15.007,680.9509,46848.0,16,CF2
121,No Match,unmatched,197.22,13.141,680.9554,78410.0,16,CF2
122,No Match,unmatched,219.21,8.035,680.9563,83882.0,16,CF2
123,No Match,unmatched,191.61444444444444,14.992222222222225,680.9569444444445,4392.0,16,CF2
124,No Match,unmatched,184.395,11.834,680.9574,10290.0,16,CF2
125,No Match,unmatched,198.455,15.728,680.9575500000001,58508.0,16,CF2
126,No Match,unmatched,190.1888888888889,13.413000000000002,680.9579666666666,24608.0,16,CF2
127,No Match,unmatched,219.68,9.961,680.958,58005.0,16,CF2
128,No Match,unmatched,198.225,14.7135,680.95835,68135.0,16,CF2
129,No Match,unmatched,186.15,13.78125,680.9591,61557.0,16,CF2
130,No Match,unmatched,220.28,11.317,680.9592,65027.0,16,CF2
131,No Match,unmatched,184.99,15.85,680.9594,81258.0,16,CF2
132,No Match,unmatched,181.58,13.174,680.961,90569.0,16,CF2
133,No Match,unmatched,156.78,14.505,480.9661,80568.0,16,CF2
134,"2,2'-(2,3,5,6-Tetrafluoro-1,4-phenylene)bis(hexafluoropropan-2-ol) or Perfluoro(2-(2-propoxypropoxy)-1H,1H-propan-1-ol)",tentative,161.49,12.451,480.9704,68689.0,16,CF2
135,"2,2'-(2,3,5,6-Tetrafluoro-1,4-phenylene)bis(hexafluoropropan-2-ol) or Perfluoro(2-(2-propoxypropoxy)-1H,1H-propan-1-ol)",tentative,165.35,10.5405,480.97045,54595.0,16,CF2
136,"2,2'-(2,3,5,6-Tetrafluoro-1,4-phenylene)bis(hexafluoropropan-2-ol) or Perfluoro(2-(2-propoxypropoxy)-1H,1H-propan-1-ol)",tentative,154.765,10.5275,480.97085,3405.0,16,CF2
137,"2,2'-(2,3,5,6-Tetrafluoro-1,4-phenylene)bis(hexafluoropropan-2-ol) or Perfluoro(2-(2-propoxypropoxy)-1H,1H-propan-1-ol)",tentative,154.86,12.444,480.9715,38158.0,16,CF2
138,"2,2'-(2,3,5,6-Tetrafluoro-1,4-phenylene)bis(hexafluoropropan-2-ol) or Perfluoro(2-(2-propoxypropoxy)-1H,1H-propan-1-ol)",tentative,154.125,9.011,480.9722,59392.0,16,CF2
139,No Match,unmatched,219.68,9.879,680.9657,89216.0,16,CF2
140,No Match,unmatched,199.45,14.755,680.9684,92201.0,16,CF2
141,No Match,unmatched,158.01,11.274333333333333,480.9584333333333,68770.0,16,CF2
142,No Match,unmatched,133.87,13.496,330.9777,90696.0,16,CF2
143,No Match,unmatched,146.77,7.632,330.979,85098.0,16,CF2
144,No Match,unmatched,151.07999999999998,6.658,330.97905000000003,75231.0,16,CF2
145,No Match,unmatched,150.605,7.8365,330.9803,74056.0,16,CF2
146,No Match,unmatched,137.77,7.774,330.9804,36584.0,16,CF2
147,No Match,unmatched,164.10666666666663,6.1243333333333325,330.98043333333334,89394.0,16,CF2
148,No Match,unmatched,141.275,8.139833333333334,330.9807333333333,55755.0,16,CF2
149,No Match,unmatched,149.3,10.423,330.9808,16491.0,16,CF2
150,No Match,unmatched,133.195,7.425,330.9815,19026.0,16,CF2
151,No Match,unmatched,143.625,9.5265,330.981675,78477.0,16,CF2
152,No Match,unmatched,135.26,12.8745,330.9825,72074.0,16,CF2
153,No Match,unmatched,146.99,7.627,330.9832,56782.0,16,CF2
155,No Match,unmatched,198.58,14.920375,730.9526875,58420.0,16,CF2
156,No Match,unmatched,198.715,14.884,730.9537,3630.0,16,CF2
157,No Match,unmatched,198.004,13.7068,730.95413,46954.0,16,CF2
158,No Match,unmatched,193.7,12.955,730.9543,31196.0,16,CF2
159,No Match,unmatched,198.82636363636365,13.79309090909091,730.9543636363636,46954.0,16,CF2
160,No Match,unmatched,193.59,11.146,730.9583,84658.0,16,CF2
161,No Match,unmatched,201.61,12.4665,780.946,89095.0,16,CF2
162,No Match,unmatched,208.44,13.19,780.9461,69680.0,16,CF2
163,No Match,unmatched,205.2326190476191,14.651571428571426,780.9505952380952,72684.0,16,CF2
164,No Match,unmatched,216.55,13.992,780.9528,57576.0,16,CF2
165,No Match,unmatched,209.9,13.178,780.956,74328.0,16,CF2
166,No Match,unmatched,166.16,11.648,530.9566,9783.0,16,CF2
167,No Match,unmatched,172.16,13.161,530.9583,59929.0,16,CF2
168,No Match,unmatched,161.13,11.634,530.964,94795.0,16,CF2
169,No Match,unmatched,165.82,11.879,530.965,57018.0,16,CF2
170,No Match,unmatched,182.44,12.948,530.9666,49415.0,16,CF2
171,No Match,unmatched,168.71636363636364,12.455636363636364,530.9672909090909,84065.0,16,CF2
172,No Match,unmatched,165.2583333333333,13.298666666666668,530.9673666666666,67037.0,16,CF2
173,No Match,unmatched,165.33625,14.678999999999998,530.967875,58104.0,16,CF2
174,No Match,unmatched,165.6,13.122,530.9679,4985.0,16,CF2
175,No Match,unmatched,161.9625,12.5405,530.9687,38806.0,16,CF2
176,No Match,unmatched,165.04500000000002,11.9015,530.969,74049.0,16,CF2
177,No Match,unmatched,172.13285714285715,14.55585714285714,530.9693285714285,59995.0,16,CF2
178,No Match,unmatched,165.26,13.917,530.9701,74000.0,16,CF2
179,No Match,unmatched,129.72125,6.080625,280.9831125,12496.0,16,CF2
180,No Match,unmatched,121.9,3.8845,230.9871,79319.0,16,CF2
182,No Match,unmatched,209.19,12.09,830.9474,3509.0,16,CF2
183,No Match,unmatched,220.75333333333333,14.665,830.9481,1800.0,16,CF2
184,No Match,unmatched,214.70857142857147,15.243880952380952,830.948369047619,68271.0,16,CF2
185,No Match,unmatched,195.8375,12.95,830.9484,59109.0,16,CF2
186,No Match,unmatched,131.5,12.092,830.9491,54427.0,16,CF2
187,No Match,unmatched,218.0233333333333,12.681,880.9444,43683.0,16,CF2
188,No Match,unmatched,226.03500000000005,14.6465,880.9446,2123.0,16,CF2
189,No Match,unmatched,216.58000000000004,14.966241379310343,880.9447896551724,59733.0,16,CF2
190,No Match,unmatched,234.05,14.4195,880.9473,84044.0,16,CF2
191,No Match,unmatched,135.51999999999998,12.509,880.9494333333333,18053.0,16,CF2
193,No Match,unmatched,157.47,11.208,380.9771,35688.0,16,CF2
194,No Match,unmatched,140.22,11.877,380.9772,89875.0,16,CF2
195,No Match,unmatched,145.07,11.21,380.9774,18550.0,16,CF2
196,No Match,unmatched,138.99,13.141,380.9775,95522.0,16,CF2
197,No Match,unmatched,139.93142857142857,9.340571428571428,380.9776,22713.0,16,CF2
198,No Match,unmatched,146.19,8.849499999999999,380.9776,3664.0,16,CF2
199,No Match,unmatched,153.105,8.8,380.9791,9638.0,16,CF2
200,No Match,unmatched,226.2133333333333,13.171333333333337,930.9379333333331,53099.0,16,CF2
201,No Match,unmatched,254.13,12.868,930.9397,54963.0,16,CF2
202,No Match,unmatched,155.595,12.928,930.9397,92456.0,16,CF2
203,No Match,unmatched,225.94,15.417333333333334,930.9417333333334,23133.0,16,CF2
204,No Match,unmatched,234.9,15.278636363636366,930.9424545454546,93848.0,16,CF2
205,"4-Bromo-2-[4,4,5,5,6,6,7,7,8,9,9,9-dodecafluoro-8-(trifluoromethyl)nonyl]phenol",tentative,169.04,9.159,580.9624,77887.0,16,CF2
206,"4-Bromo-2-[4,4,5,5,6,6,7,7,8,9,9,9-dodecafluoro-8-(trifluoromethyl)nonyl]phenol",tentative,169.848,14.07,580.9635000000001,37731.0,16,CF2
207,"4-Bromo-2-[4,4,5,5,6,6,7,7,8,9,9,9-dodecafluoro-8-(trifluoromethyl)nonyl]phenol",tentative,174.5075,14.78475,580.9639500000001,23498.0,16,CF2
208,"4-Bromo-2-[4,4,5,5,6,6,7,7,8,9,9,9-dodecafluoro-8-(trifluoromethyl)nonyl]phenol",tentative,174.7875,13.546,580.9641499999999,4452.0,16,CF2
209,"4-Bromo-2-[4,4,5,5,6,6,7,7,8,9,9,9-dodecafluoro-8-(trifluoromethyl)nonyl]phenol",tentative,173.75142857142853,14.409214285714286,580.9645642857142,31433.0,16,CF2
210,"4-Bromo-2-[4,4,5,5,6,6,7,7,8,9,9,9-dodecafluoro-8-(trifluoromethyl)nonyl]phenol",tentative,172.42,12.672,580.9653,42737.0,16,CF2
211,No Match,unmatched,173.20000000000002,12.916000000000002,930.9427333333332,1821.0,16,CF2
213,No Match,unmatched,266.55,13.221,980.9306,69581.0,16,CF2
214,No Match,unmatched,151.44,13.293,980.9335,58943.0,16,CF2
215,No Match,unmatched,242.96,15.927,980.9344,83214.0,16,CF2
