SampleName,Compound,Heavy_Halogen_Presence,r_CF2,m_over_Cm,md_over_Cm,Predicted_F_per_C,PIMMS_m/z,CEF_Peak_mz,ppm_error,CCS_PIMMS,CCS_CEF,ID,RT_PIMMS,DT,CCS,m/z,NIST SRM-1957 1.d.DeMP,RT_CEF,Peak_mz,Peak_intensity,CCS_percent_diff,RT_diff,NIST SRM-1957 10.d.DeMP,NIST SRM-1957 2.d.DeMP,NIST SRM-1957 3.d.DeMP,NIST SRM-1957 6.d.DeMP,NIST SRM-1957 7.d.DeMP,NIST SRM-1957 8.d.DeMP,NIST SRM-1957 9.d.DeMP
NIST SRM-1957 1.d.DeMP,12.0,No,0.0011426656152499618,0.006131701481706646,0.0011426637872731177,2.14,498.9239667,498.9283,8.685291325342087,168.5333333,168.732624638009,12.0,10.63766667,22.6647891998291,168.732624638009,498.9283,27968.999,10.515,498.9283,27969.0,0.11825039836733856,0.1226666699999992,,,,,,,
NIST SRM-1957 1.d.DeMP,41.0,No,0.0030421195749587454,0.010189471033364345,0.0030421176788876063,2.5,398.9329,398.93524,5.865648082682033,149.97,150.733831441359,1898.0,8.498666667,20.1117057800293,150.733831441359,398.93524,10092.999,8.592,398.93524,10093.0,0.5093228254710958,0.09333333300000035,,,,,,,
NIST SRM-1957 1.d.DeMP,43.0,No,0.0009811785759937515,0.0035925470306715284,-0.0009811778452173334,1.96,498.92595,498.92833,4.770246967543941,164.225,166.388335995484,5764.0,10.1725,22.3496627807617,166.388335995484,498.92833,9464.999,10.288,498.92833,9465.0,1.3173000429191686,0.11550000000000082,,,,,,,
NIST SRM-1957 1.d.DeMP,104.0,No,0.009921204391182607,0.009576718500742194,0.009921203877616264,2.64,368.971425,368.97459,8.577900036479036,139.54,139.50337776176,4708.0,9.53275,18.562614440918,139.50337776176,368.97459,4632.999,9.586,368.97459,4633.0,0.026244975089579806,0.05325000000000024,,,,,,,
NIST SRM-1957 10.d.DeMP,12.0,No,1.4443413611315105e-05,0.005378981698080658,-1.4331691094367736e-05,2.21,498.9239667,498.92433,0.7281670640249464,168.5333333,168.520281024947,12.0,10.63766667,22.7507629394531,168.520281024947,498.92433,,10.377,498.92433,23109.0,0.0077446252307722665,0.2606666699999991,23108.999,,,,,,
NIST SRM-1957 10.d.DeMP,40.0,No,0.001124688058755199,0.005516064424612687,-0.0011246865557711875,2.4,398.9329,398.93217,1.8298816668987692,149.97,150.758686503871,1898.0,8.498666667,20.2082653045654,150.758686503871,398.93217,,8.444,398.93217,9085.0,0.5258961818170242,0.054666666999999336,9084.999,,,,,,
NIST SRM-1957 10.d.DeMP,42.0,No,0.00042150005165521743,0.004850166841211218,-0.00042149695106183035,2.13,498.92595,498.92451,2.886199845893621,164.225,165.719719299864,5764.0,10.1725,22.3711261749268,165.719719299864,498.92451,,10.129,498.92451,10250.0,0.9101655045602169,0.04349999999999987,10249.999,,,,,,
NIST SRM-1957 10.d.DeMP,76.0,Cl0_Br1,0.01669187156520125,-0.005357476087311123,-0.016691871469670553,1.02,244.9058667,244.90555,1.2931499120549592,136.69,136.791961654706,77.0,6.616333333,17.9588413238525,136.791961654706,244.90555,,6.301,244.90555,5245.0,0.07459335335869667,0.3153333329999999,5244.999,,,,,,
NIST SRM-1957 10.d.DeMP,104.0,No,0.007224743935525604,0.0076719603584482965,0.007224743482922269,2.67,368.971425,368.97119,0.6369056900055597,139.54,139.611186231604,4708.0,9.53275,18.6572322845459,139.611186231604,368.97119,,9.44,368.97119,3409.0,0.05101492876881369,0.09275000000000055,3408.999,,,,,,
NIST SRM-1957 2.d.DeMP,12.0,No,0.00032295611022447316,0.004447658176912819,-0.00032295270732529517,2.06,498.9239667,498.92787,7.8234365564912345,168.5333333,169.15200300337,12.0,10.63766667,22.7211627960205,169.15200300337,498.92787,,10.508,498.92787,28090.0,0.3670904095089114,0.12966667000000065,,28089.999,,,,,
