GroupID,m/z,RT,DT,ID,CCS,Classification Type,Match Source,Match,Neutral Loss,Outlier,148 B2 16632.d.DeMP,149 B2 16631.d.DeMP,220 B3 16562.d.DeMP,221 B3 16563.d.DeMP,291 B4 16634.d.DeMP,295 B4 16707.d.DeMP
50,558.9742,0.552,25.069,4168.0,185.82,unmatched,,No Match,M,False,2080.6981577018746,0.0,0.0,0.0,851.6981577018748,769.6981577018748
50,514.9811,2.2433333333333336,26.027,18806.0,186.91666666666663,unmatched,,No Match,M-CO2,False,80789.11357826041,55636.11357826041,37977.11357826041,2867.6066702316093,0.0,0.0
129,309.0391333333333,3.998333333333333,20.89,10000.0,158.4466666666667,unmatched,,No Match,M,False,0.0,0.0,3129.999,1536.999,1874.999,3551.998
129,229.0821,2.473,19.389,4586.0,148.44,unmatched,,No Match,M-SO3,False,1501.999,943.999,0.0,1573.999,771.999,0.0
134,298.9415,0.95,17.712,5935.0,133.81,likely,PFAS Standards,PFBS (M-H),M,False,597.999,0.0,617.999,1235.999,650.999,0.0
134,218.9836,1.735,18.59,2796.0,142.66,unmatched,,No Match,M-SO3,False,1773.999,1742.999,2498.999,3831.999,647.999,1179.999
143,285.0054,0.709,20.863,10026.0,158.05,unmatched,,No Match,M,False,523.999,0.0,0.0,0.0,794.999,0.0
143,241.0152,0.58125,19.702,22703.0,153.0875,unmatched,,No Match,M-CO2,False,0.0,0.0,2639.999,1846.998,689.999,1778.997
149,278.9136,0.7475,17.287,295.0,130.91500000000002,unmatched,,No Match,M,False,31665.999,43233.999,126502.999,87849.999,11278.999,14933.999
149,234.9238,0.649,16.437,4694.0,125.58,unmatched,,No Match,M-CO2,False,765.999,687.999,1867.999,1562.999,0.0,0.0
149,234.9231,0.647,17.246,3840.0,131.79,unmatched,,No Match,M-CO2,False,641.999,1138.999,2747.999,1907.999,0.0,0.0
152,277.00154999999995,1.175,20.166,5155.0,153.39999999999998,unmatched,,No Match,M,False,1214.999,641.999,1002.999,861.999,944.999,627.999
152,233.0119,1.336,19.487,10450.0,149.06,unmatched,,No Match,M-CO2,False,528.999,0.0,515.999,0.0,0.0,0.0
152,233.0096,0.53,18.677,7364.0,142.84,unmatched,,No Match,M-CO2,False,841.999,0.0,1534.999,0.0,0.0,0.0
