m/z 1,m/z 2,Observed Δ,Neutral Loss
204.9449,160.956,43.9889,M−CO2
206.9411,162.9531,43.988,M−CO2
215.0008,187.0068,27.994,M−CO
215.0008,135.0445,79.9563,M−SO3
217.00075,189.0072,27.99355,M−CO
217.0148,187.0068,30.00800000000001,M−H2CO
229.0176,199.0065,30.0111,M−H2CO
230.9939,187.0068,43.9871,M−CO2
230.9939,203.0008,27.9931,M−CO
240.9115,160.956,79.9555,M−SO3
242.9101,162.9531,79.957,M−SO3
242.9967,199.0065,43.990200000000016,M−CO2
242.9967,215.0008,27.995900000000006,M−CO
243.0323,213.0212,30.0111,M−H2CO
243.0323,213.0219,30.010400000000004,M−H2CO
269.0757,239.0679,30.007799999999975,M−H2CO
398.9314,318.9777,79.95369999999997,M−SO3
398.9329,318.9777,79.95519999999999,M−SO3
448.9291,368.971425,79.957675,M−SO3
498.9239666666667,418.9687,79.95526666666666,M−SO3
498.9239666666667,468.917,30.0069666666667,M−H2CO
498.92595,418.9687,79.95724999999999,M−SO3
498.92595,468.917,30.008950000000027,M−H2CO
