Row,m/z,CCS
2,352.8606,149.42
2,352.8641175907236,146.8633907898924
2,352.8585715326697,150.88889740088246
2,352.8586842734292,151.90181025517194
2,352.8584027332806,150.4421440745661
2,352.8595104302261,152.09027916933186
2,352.8595104302261,152.09027916933186
3,352.8615,149.66
3,352.86165554207474,147.91684504499213
3,352.8588061061772,148.43225580998492
3,352.8637679912625,152.4356981
3,352.8583507229551,149.05655292963715
3,352.8585535203306,146.86437464591333
3,352.8585535203306,146.86437464591333
5,352.94340000000005,165.19
5,352.9467361654147,162.15872200464597
5,352.9434307532031,166.73725606460667
5,352.9433495963082,163.28187383790765
5,352.9431820926392,162.48797230264697
5,352.94437528795083,162.43281688867754
5,352.94437528795083,162.43281688867754
6,352.9445,165.24
6,352.9469165384277,167.83850506637336
6,352.94527208691073,162.03752947624372
6,352.9416765598793,165.33226942437335
6,352.94275211182105,167.06758686320197
6,352.9456972769904,165.5715573700068
6,352.9456972769904,165.5715573700068
7,352.9445,165.55
7,352.9480262,164.07566714628544
7,352.9416937116923,163.33767455527192
7,352.9472761948266,167.2194741239312
7,352.94189470227883,164.93456982348513
7,352.9446520004963,166.69715403863103
7,352.9446520004963,166.69715403863103
