Data file,F:\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS Validation work\Experimental Samples\NIST SRM-1957 10.d.DeMP.d
Frame range,3,922
Frame time range,0.083,16.497,minutes
Drift units,Drift Time (ms)
Mass units,Mass-To-Charge (m/z)
Mass,Drift,Abundance
289.02952,18.45,77
290.02286,18.45,324
290.02878,18.45,366
290.03469,18.45,121
291.02212,18.45,162
291.02803,18.45,94
289.01769,18.57,455
289.02361,18.57,6555
289.02952,18.57,11875
289.03543,18.57,8146
289.04135,18.57,3158
289.04726,18.57,385
290.01695,18.57,3026
290.02286,18.57,17599
290.02878,18.57,20179
290.03469,18.57,13711
290.04060,18.57,6534
290.04651,18.57,1730
290.05243,18.57,48
291.01029,18.57,119
291.01621,18.57,4405
291.02212,18.57,9864
291.02803,18.57,7585
291.03395,18.57,2986
291.03986,18.57,349
289.01769,18.69,2072
289.02361,18.69,24014
289.02952,18.69,42586
289.03543,18.69,32092
289.04135,18.69,17671
289.04726,18.69,6879
289.05317,18.69,1090
289.05908,18.69,24
290.01104,18.69,225
290.01695,18.69,22998
290.02286,18.69,64992
290.02878,18.69,70452
290.03469,18.69,48790
290.04060,18.69,28476
290.04651,18.69,14498
290.05243,18.69,3481
290.05834,18.69,157
291.01029,18.69,1730
291.01621,18.69,23552
291.02212,18.69,38371
291.02803,18.69,31249
291.03395,18.69,17492
291.03986,18.69,7577
291.04577,18.69,1410
291.05168,18.69,48
289.01178,18.81,889
289.01769,18.81,26926
289.02361,18.81,85996
289.02952,18.81,111668
289.03543,18.81,79891
289.04135,18.81,45667
289.04726,18.81,20890
289.05317,18.81,5430
289.05908,18.81,583
290.01104,18.81,1175
290.01695,18.81,46071
290.02286,18.81,114546
290.02878,18.81,123328
290.03469,18.81,86733
290.04060,18.81,51850
290.04651,18.81,27824
290.05243,18.81,9870
290.05834,18.81,1514
290.06425,18.81,70
291.01029,18.81,4816
291.01621,18.81,45156
291.02212,18.81,68928
291.02803,18.81,56504
291.03395,18.81,33389
291.03986,18.81,17126
291.04577,18.81,5496
291.05168,18.81,284
289.01178,18.93,27980
289.01769,18.93,150765
289.02361,18.93,296185
289.02952,18.93,309728
289.03543,18.93,222595
289.04135,18.93,141057
289.04726,18.93,78679
289.05317,18.93,38647
289.05908,18.93,17486
289.06500,18.93,5965
289.07091,18.93,906
289.07682,18.93,23
290.01104,18.93,1466
290.01695,18.93,53117
290.02286,18.93,125631
290.02878,18.93,139972
290.03469,18.93,102173
290.04060,18.93,62858
290.04651,18.93,33967
290.05243,18.93,13043
290.05834,18.93,3380
290.06425,18.93,119
291.01029,18.93,5314
291.01621,18.93,50242
291.02212,18.93,75820
291.02803,18.93,64681
291.03395,18.93,39546
291.03986,18.93,20918
291.04577,18.93,7078
291.05168,18.93,542
