Mass,Drift,Abundance
289.02903,18.45,77
289.01723,18.57,455
289.02313,18.57,6555
289.02903,18.57,11875
289.03493,18.57,8146
289.04084,18.57,3158
289.04674,18.57,385
289.01723,18.69,2072
289.02313,18.69,24014
289.02903,18.69,42586
289.03493,18.69,32092
289.04084,18.69,17671
289.04674,18.69,6879
289.05264,18.69,1090
289.05854,18.69,24
289.01132,18.81,889
289.01723,18.81,26926
289.02313,18.81,85996
289.02903,18.81,111668
289.03493,18.81,79891
289.04084,18.81,45667
289.04674,18.81,20890
289.05264,18.81,5430
289.05854,18.81,583
289.01132,18.93,27980
289.01723,18.93,150765
289.02313,18.93,296185
289.02903,18.93,309728
289.03493,18.93,222595
289.04084,18.93,141057
289.04674,18.93,78679
289.05264,18.93,38647
289.05854,18.93,17486
289.06445,18.93,5965
289.07035,18.93,906
289.07625,18.93,23
289.00542,19.05,93
289.01132,19.05,85168
289.01723,19.05,376732
289.02313,19.05,683211
289.02903,19.05,679284
289.03493,19.05,494166
289.04084,19.05,326401
289.04674,19.05,196837
289.05264,19.05,107381
289.05854,19.05,55264
289.06445,19.05,27741
289.07035,19.05,14912
289.07625,19.05,7638
289.08216,19.05,3056
289.08806,19.05,673
289.09396,19.05,219
289.00542,19.17,481
289.01132,19.17,131133
289.01723,19.17,582426
289.02313,19.17,1046554
289.02903,19.17,1042367
289.03493,19.17,769467
289.04084,19.17,517878
289.04674,19.17,320740
289.05264,19.17,181793
289.05854,19.17,96843
289.06445,19.17,51499
289.07035,19.17,29901
289.07625,19.17,17245
289.08216,19.17,9407
289.08806,19.17,5708
289.09396,19.17,3350
289.09986,19.17,1248
289.10577,19.17,351
289.11167,19.17,47
289.00542,19.29,438
289.01132,19.29,111070
289.01723,19.29,578643
289.02313,19.29,1074827
289.02903,19.29,1087952
289.03493,19.29,808954
289.04084,19.29,546545
289.04674,19.29,340461
289.05264,19.29,192588
289.05854,19.29,102920
289.06445,19.29,55896
289.07035,19.29,32603
289.07625,19.29,19064
289.08216,19.29,10730
289.08806,19.29,6490
289.09396,19.29,4140
289.09986,19.29,1742
289.10577,19.29,357
289.00542,19.41,42
289.01132,19.41,53523
289.01723,19.41,359186
289.02313,19.41,712566
289.02903,19.41,741406
289.03493,19.41,551257
289.04084,19.41,370049
289.04674,19.41,226925
289.05264,19.41,125162
289.05854,19.41,65538
289.06445,19.41,35198
289.07035,19.41,19506
289.07625,19.41,10577
289.08216,19.41,4905
289.08806,19.41,2630
289.09396,19.41,940
289.09986,19.41,90
289.01132,19.52,6934
289.01723,19.52,128697
289.02313,19.52,287520
289.02903,19.52,309164
289.03493,19.52,228387
289.04084,19.52,150592
289.04674,19.52,89140
289.05264,19.52,45751
289.05854,19.52,23127
289.06445,19.52,11088
289.07035,19.52,4763
289.07625,19.52,531
289.08216,19.52,21
289.01132,19.64,24
289.01723,19.64,8081
289.02313,19.64,42337
289.02903,19.64,53725
289.03493,19.64,37746
289.04084,19.64,22496
289.04674,19.64,10275
289.05264,19.64,3285
289.05854,19.64,521
289.02313,19.76,127
289.02903,19.76,113
289.03493,19.76,45
289.02313,19.88,71
289.02903,19.88,76
289.03493,19.88,70
289.01723,20,22
289.02313,20,379
289.02903,20,761
289.03493,20,284
289.04084,20,23
289.01723,20.12,190
289.02313,20.12,2479
289.02903,20.12,3796
289.03493,20.12,2413
289.04084,20.12,546
289.04674,20.12,50
289.01723,20.24,4459
289.02313,20.24,17818
289.02903,20.24,19983
289.03493,20.24,13562
289.04084,20.24,7333
289.04674,20.24,1905
289.05264,20.24,233
289.01132,20.36,293
289.01723,20.36,17875
289.02313,20.36,51247
289.02903,20.36,54039
289.03493,20.36,37693
289.04084,20.36,22261
289.04674,20.36,11057
289.05264,20.36,3475
289.05854,20.36,470
289.07035,20.36,21
289.01132,20.48,1015
289.01723,20.48,35000
289.02313,20.48,89657
289.02903,20.48,92561
289.03493,20.48,64794
289.04084,20.48,39576
289.04674,20.48,21642
289.05264,20.48,9796
289.05854,20.48,2800
289.06445,20.48,891
289.07035,20.48,139
289.01132,20.6,1333
289.01723,20.6,42448
289.02313,20.6,104450
289.02903,20.6,106796
289.03493,20.6,75209
289.04084,20.6,46567
289.04674,20.6,26472
289.05264,20.6,12127
289.05854,20.6,4694
289.06445,20.6,1840
289.07035,20.6,480
289.07625,20.6,34
