Match,Match Source,Classification Type,ID,RT,DT,CCS,m/z,148 B2 16632.d.DeMP, 149 B2 16631.d.DeMP, 220 B3 16562.d.DeMP, 221 B3 16563.d.DeMP, 291 B4 16634.d.DeMP, 295 B4 16707.d.DeMP
PFBS (M-H),PFAS Standards,likely,5935,0.95,17.712,120.0,199.9936128,597.999,0.0,617.999,1235.999,650.999,0.0
PFPeS (M-H),PFAS Standards,likely,3773,1.474,18.939,130.0,249.9904192,750.999,0.0,2023.999,1795.999,1182.999,1048.999
PFOA,PFAS Standards,likely,5935,0.95,17.712,200.0,200.0,597.999,0.0,617.999,1235.999,650.999,0.0
PFOS,PFAS Standards,likely,3773,1.474,18.939,210.0,249.9968064,750.999,0.0,2023.999,1795.999,1182.999,1048.999
PFDoS (M-H),Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,External Library,100000,12.83,0.0,203.67,698.9174,0.0,0.0,0.0,0.0,0.0,0.0
PFDS (M-H),Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,External Library,100001,11.76,0.0,186.21,598.9238,0.0,0.0,0.0,0.0,0.0,0.0
PFNS (M-H),Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,External Library,100002,11.1,0.0,177.24,548.927,0.0,0.0,0.0,0.0,0.0,0.0
PFOS (M-H),Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,External Library,100003,10.12,0.0,168.27,498.9302,0.0,0.0,0.0,0.0,0.0,0.0
PFHpS (M-H),Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,External Library,100004,9.2,0.0,159.24,448.9334,0.0,0.0,0.0,0.0,0.0,0.0
PFHxS (M-H),Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,External Library,100005,8.38,0.0,150.51,398.9366,0.0,0.0,0.0,0.0,0.0,0.0
PFPeS (M-H),Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,External Library,100006,7.03,0.0,142.2,348.9398,0.0,0.0,0.0,0.0,0.0,0.0
PFBS (M-H),Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,External Library,100007,5.2,0.0,133.62,298.943,0.0,0.0,0.0,0.0,0.0,0.0
PFPrS (M-H),Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,External Library,100008,3.2,0.0,125.1,248.9462,0.0,0.0,0.0,0.0,0.0,0.0
PFEtS (M-H),Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,External Library,100009,1.3,0.0,117.4,198.9494,0.0,0.0,0.0,0.0,0.0,0.0
TFMS(1) (M-H),Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,External Library,100010,0.38,0.0,109.59,148.9526,0.0,0.0,0.0,0.0,0.0,0.0
TFMS(2) (M-H),Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,External Library,100011,0.38,0.0,111.32,148.9526,0.0,0.0,0.0,0.0,0.0,0.0
8Cl-PFOS (M-H),Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,External Library,100012,10.68,0.0,173.33,514.9007,0.0,0.0,0.0,0.0,0.0,0.0
PFECHS (M-H),Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,External Library,100013,9.02,0.0,153.34,460.9334,0.0,0.0,0.0,0.0,0.0,0.0
PFODA (M-H),Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,External Library,100014,14.29,0.0,243.5,912.9339,0.0,0.0,0.0,0.0,0.0,0.0
PFODA (M-H-CO2),Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,External Library,100015,14.29,0.0,222.2,868.9441,0.0,0.0,0.0,0.0,0.0,0.0
PFHxDA (M-H),Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,External Library,100016,14.02,0.0,226.12,812.9409,0.0,0.0,0.0,0.0,0.0,0.0
PFHxDA (M-H-CO2),Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,External Library,100017,14.02,0.0,203.67,768.951,0.0,0.0,0.0,0.0,0.0,0.0
PFTeDA (M-H),Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,External Library,100018,13.3,0.0,209.19,712.9473,0.0,0.0,0.0,0.0,0.0,0.0
PFTeDA (M-H-CO2),Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,External Library,100019,13.3,0.0,187.62,668.9574,0.0,0.0,0.0,0.0,0.0,0.0
PFTrDA (M-H),Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,External Library,100020,12.86,0.0,200.76,662.9505,0.0,0.0,0.0,0.0,0.0,0.0
PFTrDA (M-H-CO2),Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,External Library,100021,12.86,0.0,179.65,618.9606,0.0,0.0,0.0,0.0,0.0,0.0
PFDoA (M-H),Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,External Library,100022,12.36,0.0,191.37,612.9537,0.0,0.0,0.0,0.0,0.0,0.0
PFDoA (M-H-CO2),Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,External Library,100023,12.36,0.0,171.5,568.9638,0.0,0.0,0.0,0.0,0.0,0.0
PFUdA (M-H),Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,External Library,100024,11.77,0.0,182.86,562.9568,0.0,0.0,0.0,0.0,0.0,0.0
PFUdA (M-H-CO2),Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,External Library,100025,11.77,0.0,163.36,518.967,0.0,0.0,0.0,0.0,0.0,0.0
PFDA (M-H),Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,External Library,100026,11.1,0.0,174.21,512.96,0.0,0.0,0.0,0.0,0.0,0.0
PFDA (M-H-CO2),Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,External Library,100027,11.1,0.0,155.28,468.9702,0.0,0.0,0.0,0.0,0.0,0.0
PFNA (M-H),Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,External Library,100028,10.3,0.0,165.15,462.9632,0.0,0.0,0.0,0.0,0.0,0.0
PFNA (M-H-CO2),Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,External Library,100029,10.3,0.0,147.02,418.9734,0.0,0.0,0.0,0.0,0.0,0.0
PFOA (M-H-CO2),Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,External Library,100030,9.37,0.0,139.5,368.9766,0.0,0.0,0.0,0.0,0.0,0.0
PFHpA (M-H-CO2),Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,External Library,100031,8.21,0.0,132.38,318.9798,0.0,0.0,0.0,0.0,0.0,0.0
PFHxA (M-H-CO2),Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,External Library,100032,6.66,0.0,125.1,268.983,0.0,0.0,0.0,0.0,0.0,0.0
PFPeA (M-H-CO2),Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,External Library,100033,4.52,0.0,117.43,218.9862,0.0,0.0,0.0,0.0,0.0,0.0
PFBA (M-H-CO2),Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,External Library,100034,2.26,0.0,110.76,168.9894,0.0,0.0,0.0,0.0,0.0,0.0
PFPrA(1) (M-H-CO2),Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,External Library,100035,10.47,0.0,119.28,118.992,0.0,0.0,0.0,0.0,0.0,0.0
PFPrA(2) (M-H),Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,External Library,100036,0.82,0.0,115.1,162.9818,0.0,0.0,0.0,0.0,0.0,0.0
PFPrA(2) (M-H-CO2),Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,External Library,100037,0.82,0.0,104.5986,118.992,0.0,0.0,0.0,0.0,0.0,0.0
TFA(1) (M-H),Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,External Library,100038,0.36,0.0,106.25,112.985,0.0,0.0,0.0,0.0,0.0,0.0
TFA(2) (M-H),Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,External Library,100039,0.36,0.0,122.14,112.985,0.0,0.0,0.0,0.0,0.0,0.0
TFA(1) (M-H-CO2),Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,External Library,100040,0.36,0.0,96.52,68.9952,0.0,0.0,0.0,0.0,0.0,0.0
9Cl-PFNA (M-H),Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,External Library,100041,7.99,0.0,168.64,478.9331,0.0,0.0,0.0,0.0,0.0,0.0
9Cl-PFNA (M-H-CO2),Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,External Library,100042,7.99,0.0,150.52,434.9433,0.0,0.0,0.0,0.0,0.0,0.0
5H-PFPeA (M-H),Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,External Library,100043,1.19,0.0,142.99,244.9854,0.0,0.0,0.0,0.0,0.0,0.0
diPFHxA (M-H),Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,External Library,100044,0.37,0.0,130.67,288.9747,0.0,0.0,0.0,0.0,0.0,0.0
10:2 FTS (M-H),Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,External Library,100045,12.37,0.0,203.62,626.9551,0.0,0.0,0.0,0.0,0.0,0.0
8:2 FTS (M-H),Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,External Library,100046,11.08,0.0,185.8,526.9615,0.0,0.0,0.0,0.0,0.0,0.0
6:2 FTS (M-H),Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,External Library,100047,9.31,0.0,168.13,426.9679,0.0,0.0,0.0,0.0,0.0,0.0
4:2 FTS (M-H),Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,External Library,100048,6.51,0.0,150.39,326.9743,0.0,0.0,0.0,0.0,0.0,0.0
5:2 FTCA (M-H),Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,External Library,100049,8.44,0.0,157.54,341.0036,0.0,0.0,0.0,0.0,0.0,0.0
8:2 FTUCA (M-H),Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,External Library,100050,10.25,0.0,192.4,456.9727,0.0,0.0,0.0,0.0,0.0,0.0
8:2 FTPA (M-H),Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,External Library,100051,11.08,0.0,188.22,526.9705,0.0,0.0,0.0,0.0,0.0,0.0
"1H,1H,5H-Perfluoropentanol (M-H)",Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,External Library,100052,4.8,0.0,124.5,231.0056,0.0,0.0,0.0,0.0,0.0,0.0
11:1 FTOH (M-H),Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,External Library,100053,13.98,0.0,179.62,598.9738,0.0,0.0,0.0,0.0,0.0,0.0
HFPO-TeA (dimer) (M-H),Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,External Library,100054,12.43,0.0,278.77,1322.884,0.0,0.0,0.0,0.0,0.0,0.0
PFO3TrDA (dimer) (M-H),Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,External Library,100055,11.78,0.0,257.43,1122.896,0.0,0.0,0.0,0.0,0.0,0.0
PFO2NA (dimer) (M-H),Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,External Library,100056,10.7,0.0,240.87,990.9128,0.0,0.0,0.0,0.0,0.0,0.0
PFO5DoA (dimer) (M-H),Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,External Library,100057,10.15,0.0,233.35,886.8951,0.0,0.0,0.0,0.0,0.0,0.0
PFO4DA (dimer) (M-H),Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,External Library,100058,8.86,0.0,217.05,754.9117,0.0,0.0,0.0,0.0,0.0,0.0
PFO3OA (dimer) (M-H),Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,External Library,100059,6.95,0.0,198.95,622.9282,0.0,0.0,0.0,0.0,0.0,0.0
NFDHA (dimer) (M-H),Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,External Library,100060,6.49,0.0,195.5,590.9384,0.0,0.0,0.0,0.0,0.0,0.0
PFMBA (dimer) (M-H),Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,External Library,100061,5.38,0.0,183.5,558.9486,0.0,0.0,0.0,0.0,0.0,0.0
Hydro-EVE (M-H),Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,External Library,100062,8.28,0.0,151.2,426.9651,0.0,0.0,0.0,0.0,0.0,0.0
EVE acid (M-H),Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,External Library,100063,8.8,0.0,146.26,406.9589,0.0,0.0,0.0,0.0,0.0,0.0
R-EVE (M-H),Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,External Library,100064,2.37,0.0,146.3,404.9632,0.0,0.0,0.0,0.0,0.0,0.0
PFO4DA (M-H),Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,External Library,100065,6.68,0.0,146.66,376.9525,0.0,0.0,0.0,0.0,0.0,0.0
PFO3DoDA (M-H-CO2),Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,External Library,100066,10.07,0.0,149.52,366.9645,0.0,0.0,0.0,0.0,0.0,0.0
